unix,date,symbol,open,high,low,close,volume ETH,volume USDT,tradecount
1646388000000,2022-03-04 10:00:00,ETH/USDT,2729.72000000,2748.86000000,2728.32000000,2741.80000000,12259.00760000,33605857.24574500,23117
1646384400000,2022-03-04 09:00:00,ETH/USDT,2743.99000000,2749.00000000,2716.94000000,2729.72000000,18056.87950000,49400031.69547400,31916
1646380800000,2022-03-04 08:00:00,ETH/USDT,2733.08000000,2751.65000000,2704.50000000,2743.99000000,31995.54880000,87371695.04603600,49660
1646377200000,2022-03-04 07:00:00,ETH/USDT,2724.48000000,2734.00000000,2716.90000000,2733.07000000,9540.75200000,25991659.95307900,18380
1646373600000,2022-03-04 06:00:00,ETH/USDT,2725.77000000,2733.80000000,2718.01000000,2724.48000000,9142.72620000,24930582.73739400,16783
1646370000000,2022-03-04 05:00:00,ETH/USDT,2728.06000000,2732.78000000,2716.29000000,2725.77000000,10201.86900000,27801452.45954400,17674
1646366400000,2022-03-04 04:00:00,ETH/USDT,2725.33000000,2730.00000000,2710.00000000,2728.05000000,13425.02530000,36517923.44885900,22163
1646362800000,2022-03-04 03:00:00,ETH/USDT,2726.12000000,2730.23000000,2712.01000000,2725.33000000,16086.66350000,43800178.76226100,21661
1646359200000,2022-03-04 02:00:00,ETH/USDT,2733.08000000,2736.80000000,2719.91000000,2726.13000000,13275.26010000,36195589.14679900,22610
1646355600000,2022-03-04 01:00:00,ETH/USDT,2734.38000000,2737.68000000,2687.47000000,2733.08000000,57219.35080000,155245140.33185900,80312
1646352000000,2022-03-04 00:00:00,ETH/USDT,2834.00000000,2836.17000000,2726.81000000,2734.38000000,49085.96150000,136001815.69147300,77313
1646348400000,2022-03-03 23:00:00,ETH/USDT,2834.00000000,2849.55000000,2827.46000000,2833.99000000,8859.13060000,25138382.19234000,17516
1646344800000,2022-03-03 22:00:00,ETH/USDT,2804.34000000,2843.37000000,2803.24000000,2834.00000000,15192.66140000,43022565.60298500,32728
1646341200000,2022-03-03 21:00:00,ETH/USDT,2803.63000000,2814.92000000,2790.60000000,2804.34000000,11718.52430000,32867214.68518400,22635
1646337600000,2022-03-03 20:00:00,ETH/USDT,2817.21000000,2823.98000000,2793.43000000,2803.62000000,19504.10190000,54767886.62667500,33727
1646334000000,2022-03-03 19:00:00,ETH/USDT,2817.24000000,2824.00000000,2800.80000000,2817.20000000,11564.09400000,32563257.23432400,22324
1646330400000,2022-03-03 18:00:00,ETH/USDT,2819.90000000,2834.94000000,2811.13000000,2817.24000000,16297.45920000,46023577.59158300,26801
1646326800000,2022-03-03 17:00:00,ETH/USDT,2818.73000000,2830.99000000,2785.00000000,2819.90000000,29988.80910000,84291511.60205400,51805
1646323200000,2022-03-03 16:00:00,ETH/USDT,2827.99000000,2839.62000000,2810.13000000,2818.74000000,33717.51620000,95206618.61554200,51941
1646319600000,2022-03-03 15:00:00,ETH/USDT,2887.74000000,2891.40000000,2816.35000000,2828.00000000,56926.04190000,161950541.70021800,88449
1646316000000,2022-03-03 14:00:00,ETH/USDT,2929.93000000,2934.98000000,2879.51000000,2887.73000000,25583.41840000,74418815.29386400,41473
1646312400000,2022-03-03 13:00:00,ETH/USDT,2914.20000000,2931.61000000,2910.17000000,2929.93000000,12552.08160000,36676013.56446100,24426
1646308800000,2022-03-03 12:00:00,ETH/USDT,2912.43000000,2931.55000000,2904.00000000,2914.19000000,14379.82330000,41962056.11322400,23047
1646305200000,2022-03-03 11:00:00,ETH/USDT,2911.00000000,2934.02000000,2903.55000000,2912.43000000,17314.19600000,50549837.82454100,28877
